ชื่อสาขา,ห้าง,จังหวัด,ภูมิภาค,STORE_ID,STORE_NAME
ประจวบคีรีขันธ์,โกลบอลเฮ้าส์,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก,S00598,GH-PRACHUAPKHIRIKHAN
ปราณบุรี,โกลบอลเฮ้าส์,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก,S00376,GH-PRANBURI-PRACHUAPKHIRIKHAN
ระนอง,โกลบอลเฮ้าส์,ระนอง,ภาคใต้,S00269,GH-RANONG
ราชบุรี,โกลบอลเฮ้าส์,ราชบุรี,ภาคตะวันตกและตะวันออก,S00258,GH-RATCHABURI
ระยอง,โกลบอลเฮ้าส์,ระยอง,ภาคตะวันตกและตะวันออก,S00421,GH-RAYONG
โพนทอง,โกลบอลเฮ้าส์,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,S00437,GH-PONE_THONG-ROIET
ร้อยเอ็ด,โกลบอลเฮ้าส์,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,S00361,GH-ROIET
อรัญประเทศ,โกลบอลเฮ้าส์,สระแก้ว,ภาคตะวันตกและตะวันออก,S02350,GH-ARANYAPRATHET-SAKAEO
พังโคน สกลนคร,โกลบอลเฮ้าส์,สกลนคร,ภาคตะวันออกเฉียงเหนือ,S00197,GH-PHANG_KHON-SAKONNAKHON
สกลนคร,โกลบอลเฮ้าส์,สกลนคร,ภาคตะวันออกเฉียงเหนือ,S00387,GH-SAKONNAKHON
สว่างแดนดิน,โกลบอลเฮ้าส์,สกลนคร,ภาคตะวันออกเฉียงเหนือ,S00515,GH-SAWANGDAEDIN-SAKONNAKHON
เทพารักษ์,โกลบอลเฮ้าส์,สมุทรปราการ,กรุงเทพฯและภาคกลาง,S00426,GH:THEPHARAK-SAMUTPRAKAN
กระทุ่มแบน,โกลบอลเฮ้าส์,สมุทรสาคร,ภาคตะวันตกและตะวันออก,S00441,GH:KATUMBAN-SAMUTSAKHON
สมุทรสงคราม,โกลบอลเฮ้าส์,สมุทรสงคราม,ภาคตะวันตกและตะวันออก,S00397,GH-SAMUTSONGKHRAM
สตูล,โกลบอลเฮ้าส์,สตูล,ภาคใต้,S00460,GH-SATUN
สิงห์บุรี,โกลบอลเฮ้าส์,สิงห์บุรี,ภาคตะวันตกและตะวันออก,S00334,GH-SINGBURI
กันทรลักษ์,โกลบอลเฮ้าส์,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,S00379,GH-KANTARARAK-SISAKET
จะนะ สงขลา,โกลบอลเฮ้าส์,สงขลา,ภาคใต้,S00501,GH-JANA-SONGKHLA
สวรรคโลก,โกลบอลเฮ้าส์,สุโขทัย,ภาคเหนือ,S00558,GH-SAWANKHALOK-SUKHOTHAI
สุโขทัย,โกลบอลเฮ้าส์,สุโขทัย,ภาคเหนือ,S00423,GH-SUKHOTHAI
เกาะสมุย,โกลบอลเฮ้าส์,สุราษฎร์ธานี,ภาคใต้,S00125,GH-SAMUI-SURATTHANI
สุราษฎร์ธานี,โกลบอลเฮ้าส์,สุราษฎร์ธานี,ภาคใต้,S00524,GH-SURATTHANI
สุรินทร์,โกลบอลเฮ้าส์,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,S00510,GH-SURIN
แม่สอด ตาก,โกลบอลเฮ้าส์,ตาก,ภาคเหนือ,S02046,GH-MAESOD-TAK
ตราด,โกลบอลเฮ้าส์,ตราด,ภาคตะวันตกและตะวันออก,S00260,GH-TRAT
เดชอุดม,โกลบอลเฮ้าส์,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,S00407,GH-DECH_UDOM-UBONRATCHATHANI
ตระการพืชผล,โกลบอลเฮ้าส์,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,S02347,GH-TRAKANPHUETPHON-UBONRATCHATHANI
ตระการพืชผล,โกลบอลเฮ้าส์,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,S02355,GH-TRAKANPHUETPHON-UBONRATCHATHANI
อุบลราชธานี,โกลบอลเฮ้าส์,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,S00455,GH-UBONRATCHATHANI
บ้านดุง อุดรธานี,โกลบอลเฮ้าส์,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S01239,GH-BANDUNG-UDONTHANI
บ้านตาด,โกลบอลเฮ้าส์,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S00256,GH-BAN_TAK-UDONTHANI
บ้านผือ อุดรธานี,โกลบอลเฮ้าส์,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S02348,GH-BANPHUE-UDONTHANI
หนองหาน,โกลบอลเฮ้าส์,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S00320,GH-NONGHAN-UDONTHANI
อุดรธานี,โกลบอลเฮ้าส์,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S00541,GH-UDONTHANI
อุตรดิตถ์,โกลบอลเฮ้าส์,อุตรดิตถ์,ภาคเหนือ,S00385,GH-UTTARADIT
เลิงนกทา ยโสธร,โกลบอลเฮ้าส์,ยโสธร,ภาคตะวันออกเฉียงเหนือ,S00478,GH-LENG_NOK_THA-YASOTHON
ยโสธร,โกลบอลเฮ้าส์,ยโสธร,ภาคตะวันออกเฉียงเหนือ,S00185,GH-YASOTHON
เมกาโฮม-โรจนะ,โฮมโปร,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00107,HP.MH-ROJANA-AYUTTHAYA
อยุธยา,โฮมโปร,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00046,HP-AYUTTHAYA
เกตเวย์ เอกมัย,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00584,HP:GATEWAY_EKAMAI
เกตเวย์ บางซื่อ,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00539,HP:GATEWAY_BANGSUE
เกตเวย์ บางซื่อ-เพาเวอร์ไลฟ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00883,HP:GATEWAY_BANGSUE(POWER_LIFE)
เพชรเกษม,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00060,HP:PHETKASEM
เพลินจิต,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00192,HP:PLEONJIT
เมกาโฮม-บางนาตราด,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00157,HP.MH:BANGNA_TRAD
เมกาโฮม-บางพลี,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00121,HP.MH:BANGPLEE
เมกาโฮม-มีนบุรี,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00077,HP.MH:MINBURI
เมกาโฮม-รัตนาธิเบศร์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00101,HP.MH:RATTHANATHIBET
เอกมัย-รามอินทรา,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00023,HP:EKKAMAI_RAMINTRA
แฟชั่นไอส์แลนด์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00533,HP:CENTRAL_FASHION_ISLAND
แฟชั่นไอส์แลนด์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00004,HP:FASHION_ISLAND
โลตัส บางแค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00689,HP:LOTUS_BANGKAE
กัลปพฤกษ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00084,HP:KALLAPRAPRUK
จรัญสนิทวงศ์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00034,HP:CHARANSANITWONG
ซีคอน บางแค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00091,HP:SEACON_BANGKAE
บางจาก-กล้วยน้ำไท,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S02218,HP:BANGCHAK_KLUY_NUM_TAI
บางนา กม.1,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00011,HP:BANGNA_TRAD_KM_1
พระราม 2,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00003,HP:RAMA2
พระราม 3,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00054,HP:RAMA3
พระราม 9,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00052,HP:RAMA9
พาราไดซ์ พาร์ค,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00031,HP:PARADISE_PARK
มาร์เก็ตเพลส นางลิ้นจี่,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00640,HP:MARKET_PLACE-NANG_LIN_JEE
รัชดาภิเษก,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00074,HP:RATCHADA
รามคำแหง,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00078,HP:RAMKAMHANG
ลาดกระบัง,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00012,HP:LADKRABANG
ลาดพร้าว,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00045,HP:LADPRAO
ศรีนครินทร์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00020,HP:SRINAKARIN
สามย่าน มิตรทาวน์,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00614,HP:SAMYAN_MITRTOWN
สุขาภิบาล 3,โฮมโปร,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00467,HP:SUKHAPIBAN3
บุรีรัมย์,โฮมโปร,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,S00061,HP-BURIRAM
เมกาโฮม-ฉะเชิงเทรา,โฮมโปร,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก,S00245,HP.MH-CHACHOENGSAO
ฉะเชิงเทรา,โฮมโปร,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก,S00025,HP-CHACHOENGSAO
ชัยภูมิ,โฮมโปร,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,S00275,HP-CHAIYAPHUM
จันทบุรี,โฮมโปร,จันทบุรี,ภาคตะวันตกและตะวันออก,S00027,HP-CHANTHABURI
เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ,S00201,HP-BIG_C-CHIANGMAI
เมกาโฮม-เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ,S00092,HP.MH-CHIANGMAI
รวมโชค เชียงใหม่,โฮมโปร,เชียงใหม่,ภาคเหนือ,S00476,HP-RUAMCHOK-CHIANGMAI
สันทราย,โฮมโปร,เชียงใหม่,ภาคเหนือ,S00010,HP-SANSAI-CHAINGMAI
หางดง,โฮมโปร,เชียงใหม่,ภาคเหนือ,S00044,HP-HANGDONG-CHIANGMAI
เชียงราย,โฮมโปร,เชียงราย,ภาคเหนือ,S00259,HP-CHIANGRAI
เมกาโฮม-เชียงราย,โฮมโปร,เชียงราย,ภาคเหนือ,S00225,HP.MH-CHIANGRAI
แม่สาย,โฮมโปร,เชียงราย,ภาคเหนือ,S01828,HP-MAE_SAI-CHIANGRAI
เมกาโฮม-บ่อวิน,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00022,HP.MH-BORWIN-CHONBURI
เมกาโฮม-บางแสน,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00120,HP.MH-BANGSAN-CHONBURI
เมกาโฮม-พัทยา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00112,HP.MH-PATTAYA-CHONBURI
แหลมฉบัง,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S02242,HP-LAEM_CHABANG-CHONBURI
ชลบุรี,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00196,HP-CHONBURI
บางเสร่,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00164,HP-BANGSARAY-CHONBURI
พัทยา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00081,HP-BIG_C-PATTAYA_CENTER-CHONBURI
พัทยาเหนือ,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00033,HP-NORTH_PATTAYA-CHONBURI
ศรีราชา,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00105,HP-SRIRACHA-CHONBURI
อมตะนคร,โฮมโปร,ชลบุรี,ภาคตะวันตกและตะวันออก,S00050,HP-AMATANAKORN-CHONBURI
ชุมพร,โฮมโปร,ชุมพร,ภาคใต้,S00049,HP-CHUMPHON
กาญจนบุรี,โฮมโปร,กาญจนบุรี,ภาคตะวันตกและตะวันออก,S00286,HP-KANCHANABURI
ขอนแก่น,โฮมโปร,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,S00038,HP-KHONKAEN
เกาะลันตา,โฮมโปร,กระบี่,ภาคใต้,S00570,HP-KHO_LANTA-KRABI
กระบี่,โฮมโปร,กระบี่,ภาคใต้,S00036,HP-KRABI
ลำปาง,โฮมโปร,ลำปาง,ภาคเหนือ,S00391,HP-LAMPANG
ลำพูน,โฮมโปร,ลำพูน,ภาคเหนือ,S00343,HP-LAMPHUN
เลย,โฮมโปร,เลย,ภาคตะวันออกเฉียงเหนือ,S00026,HP-LOEI
ชัยบาดาล,โฮมโปร,ลพบุรี,ภาคตะวันตกและตะวันออก,S01174,HP-CHAIBADAN-LOPBURI
ลพบุรี,โฮมโปร,ลพบุรี,ภาคตะวันตกและตะวันออก,S00394,HP-LOPBURI
มุกดาหาร,โฮมโปร,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,S00132,HP-MUKDAHAN
เมกาโฮม-นครปฐม,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก,S00194,HP.MH:NAKHONPATHOM
กำแพงแสน,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก,S00843,HP:KAMPHAENG_SAEN-NAKHONPATHOM
นครปฐม,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก,S00080,HP:NAKHONPATHOM
พุทธมณฑล สาย 5,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก,S00024,HP:PHUTTAMONTHON_SAI_5-NAKHONPATHOM
พุทธมณฑล สาย 4,โฮมโปร,นครปฐม,ภาคตะวันตกและตะวันออก,S02211,HP:PHUTTAMONTHON_SAI_4-NAKHONPATHOM
เมกาโฮม-นครพนม,โฮมโปร,นครพนม,ภาคตะวันออกเฉียงเหนือ,S00173,HP.MH-NAKHONPHANOM
เขาใหญ่,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,S00015,HP-KHAOYAI-NAKHONRATCHASIMA
เทอร์มินอล 21 โคราช-โฮมลีฟวิ่ง,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,S00277,HP-TERMINAL21-NAKHONRATCHASIMA
เมกาโฮม-นครราชสีมา,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,S00755,HP.MH-NAKHONRATCHASIMA
นครราชสีมา,โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,S00124,HP-NAKHONRATCHASIMA
นครราชสีมา (หัวทะเล),โฮมโปร,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,S00160,HP-HUATALEY-NAKHONRATCHASIMA
นครสวรรค์,โฮมโปร,นครสวรรค์,ภาคเหนือ,S00198,HP-NAKHONSAWAN
เมกาโฮม-ทุ่งสง,โฮมโปร,นครศรีธรรมราช,ภาคใต้,S00151,HP.MH-TUNGSONG-NAKHONSITHAMMARAT
ขนอม,โฮมโปร,นครศรีธรรมราช,ภาคใต้,S01685,HP-KHANOM-NAKHONSITHAMMARAT
นครศรีธรรมราช,โฮมโปร,นครศรีธรรมราช,ภาคใต้,S00351,HP-NAKHONSITHAMMARAT
เมกาโฮม-หนองคาย,โฮมโปร,หนองคาย,ภาคตะวันออกเฉียงเหนือ,S00073,HP.MH-NONGKHAI
เมกาโฮม-ติวานนท์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00075,HP.MH:TIWANON-NONTHABURI
แจ้งวัฒนะ,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00267,HP:CHANGWATTANA
ชัยพฤกษ์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00013,HP:CHAIYAPHRUEK
บางจาก-บางบัวทอง,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00846,HP:BANGJAK-BANGBUATHONG
บางบัวทอง,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00070,HP:BANGBUATHONG-NONTHABURI
ประชาชื่น,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00040,HP:PRACHACHUEN
รัตนาธิเบศร์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00083,HP:RATTANATHIBATE-NONTHABURI
ราชพฤกษ์,โฮมโปร,นนทบุรี,กรุงเทพฯและภาคกลาง,S00028,HP:RATCHAPRUK
เมกาโฮม-รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S00039,HP.MH:RANGSIT
ฟิวเจอร์พาร์ค รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S00001,HP:FUTURE_PARK-RANGSIT
รังสิต,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S00884,HP:FUTURE_PARK-RANGSIT(S001)
รังสิต คลอง 4,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S00032,HP:RANGSIT_KLONG4
รังสิต-ปทุมธานี,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S01829,HP.MH:RANGSIT(M710)
ลำลูกกา,โฮมโปร,ปทุมธานี,กรุงเทพฯและภาคกลาง,S00055,HP:LAMLUKKA-PATHUMTHANI
พัทลุง,โฮมโปร,พัทลุง,ภาคใต้,S00117,HP-PHATTHALUNG
เพชรบูรณ์,โฮมโปร,เพชรบูรณ์,ภาคเหนือ,S00139,HP-PHETCHABUN
เพชรบุรี,โฮมโปร,เพชรบุรี,ภาคตะวันตกและตะวันออก,S00115,HP-PHETCHABURI
ชะอำ,โฮมโปร,เพชรบุรี,ภาคตะวันตกและตะวันออก,S00852,HP-CHA_AM-PHETCHABURI
พิษณุโลก,โฮมโปร,พิษณุโลก,ภาคเหนือ,S00359,HP-PHITSANULOK
แพร่,โฮมโปร,แพร่,ภาคเหนือ,S00153,HP-PHRAE
เจ้าฟ้า ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้,S00059,HP-CHAOFHA-PHUKET
เชิงทะเล ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้,S00484,HP-CHOENG_THALE-PHUKET
ฉลอง ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้,S00009,HP-CHALONG-PHUKET
ถลาง ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้,S00068,HP-THALANG-PHUKET
ภูเก็ต,โฮมโปร,ภูเก็ต,ภาคใต้,S00065,HP-PHUKET
เมกาโฮม-กบินทร์บุรี,โฮมโปร,ปราจีนบุรี,ภาคตะวันตกและตะวันออก,S00087,HP.MH-KRABINBURI-PRACHINBURI
ปราจีนบุรี,โฮมโปร,ปราจีนบุรี,ภาคตะวันตกและตะวันออก,S00182,HP-PRACHINBURI
ประจวบคีรีขันธ์,โฮมโปร,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก,S00239,HP-PRACHUAPKHIRIKHAN
หัวหิน,โฮมโปร,ประจวบคีรีขันธ์,ภาคตะวันตกและตะวันออก,S00017,HP-HUAHIN-PRACHUAPKHIRIKHAN
จอมบึง,โฮมโปร,ราชบุรี,ภาคตะวันตกและตะวันออก,S01441,HP-CHOMBUENG-RATCHABURI
ราชบุรี,โฮมโปร,ราชบุรี,ภาคตะวันตกและตะวันออก,S00018,HP-RATCHABURI
เมกาโฮม-บ้านฉาง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก,S00123,HP.MH-BANCHANG-RAYONG
เมกาโฮม-ปลวกแดง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก,S00037,HP.MH-PLUAK_DAENG-RAYONG
ระยอง,โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก,S00111,HP-RAYONG
ระยอง (ทับมา),โฮมโปร,ระยอง,ภาคตะวันตกและตะวันออก,S00184,HP-THAB_MA-RAYONG
ร้อยเอ็ด,โฮมโปร,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,S00089,HP-ROIET
เมกาโฮม-อรัญประเทศ,โฮมโปร,สระแก้ว,ภาคตะวันตกและตะวันออก,S00014,HP.MH-ARANYAPRATHET
สกลนคร,โฮมโปร,สกลนคร,ภาคตะวันออกเฉียงเหนือ,S00069,HP-SAKONNAKHON
เมกาบางนา,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง,S00002,HP:MEGA_BANGNA
สุขสวัสดิ์,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง,S00006,HP:SUKSAWAD
สุวรรณภูมิ,โฮมโปร,สมุทรปราการ,กรุงเทพฯและภาคกลาง,S00005,HP:SUVARNBHUMI
มหาชัย,โฮมโปร,สมุทรสาคร,ภาคตะวันตกและตะวันออก,S00016,HP:MAHACHAI-SAMUTSAKHON
สมุทรสงคราม,โฮมโปร,สมุทรสงคราม,ภาคตะวันตกและตะวันออก,S00227,HP-SAMUTSONGKHRAM
สระบุรี,โฮมโปร,สระบุรี,ภาคตะวันตกและตะวันออก,S00063,HP-SARABURI
เมกาโฮม-หาดใหญ่,โฮมโปร,สงขลา,ภาคใต้,S00746,HP.MH-HADYAI-SONGKHLA
หาดใหญ่,โฮมโปร,สงขลา,ภาคใต้,S00155,HP-HADYAI-SONGKHLA
หาดใหญ่ กาญจนวนิช ,โฮมโปร,สงขลา,ภาคใต้,S00119,HP-HADYAI_2-SONGKHLA
สุโขทัย,โฮมโปร,สุโขทัย,ภาคเหนือ,S00341,HP-SUKHOTHAI
สุพรรณบุรี,โฮมโปร,สุพรรณบุรี,ภาคตะวันตกและตะวันออก,S00318,HP-SUPHANBURI
เกาะพะงัน,โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S02210,HP-PHANGAN-SURATTHANI
เกาะสมุย,โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S00224,HP-SAMUI-SURATTHANI
เกาะสมุย 2,โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S02256,HP-SAMUI_2-SURATTHANI
เมกาโฮม-เวียงสระ,โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S02241,HP.MH-WIANG_SA-SURATTHANI
เมกาโฮม-สุราษฎร์ธานี,โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S00072,HP.MH-SURATTHANI
สุราษฎร์ธานี (เลี่ยงเมือง),โฮมโปร,สุราษฎร์ธานี,ภาคใต้,S00041,HP-SURATTHANI
สุรินทร์,โฮมโปร,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,S00056,HP-SURIN
เมกาโฮม-แม่สอด,โฮมโปร,ตาก,ภาคเหนือ,S00029,HP.MH-MAESOD-TAK
ตรัง,โฮมโปร,ตรัง,ภาคใต้,S00067,HP-TRANG
อุบลราชธานี,โฮมโปร,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,S00127,HP-UBONRATCHATHANI
หนองหาน,โฮมโปร,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S01188,HP-NONGHAN-UDONTHANI
อุดรธานี,โฮมโปร,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,S00064,HP-UDONTHANI
อ่างทอง,โลตัส,อ่างทอง,ภาคตะวันตกและตะวันออก,S00783,LT-ANGTHONG
เสนา อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00605,LT-SENA-AYUTTHAYA
โรจนะ อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00642,LT-ROJANA-AYUTTHAYA
บางประอิน อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00811,LT-BANG_PA_IN-AYUTTHAYA
อยุธยา,โลตัส,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00466,LT-AYUTTHAYA_PARK-AYUTTHAYA
เลียบคลอง 2,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S01035,LT:LIAP_KHLONG_2
แจ้งวัฒนะ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00564,LT:CHANGWATTANA
ไอคอนสยาม,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00848,LT:ICS_BANGKOK
จรัญสนิทวงศ์,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00502,LT:CHARUNSANITWONG
ซีคอน ศรีนครินทร์,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00594,LT:SEACON_SQUARE
บางแค,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00722,LT:BANGKAE
บางกะปิ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00474,LT:BANGKAPI
บางนา-ตราด,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00472,LT:BANGNA
บางปะกอก,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00604,LT:BANGPAKOK
ประชาชื่น,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00488,LT:PRACHACHUEN
ปิ่นเกล้า,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00778,LT:PINKLAO
พระราม 1,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00461,LT:RAMA1
พระราม 2,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00392,LT:RAMA2
พระราม 3,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00534,LT:RAMA3
พระราม 4,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00597,LT:RAMA4
พัฒนาการ,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00635,LT:PHATTHANAKAN
ฟอร์จูนทาว,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00705,LT:FORTUNE
มีนบุรี,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00507,LT:MINBURI
รามอินทรา,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00301,LT:RAMINTRA
ลาดกระบัง,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00988,LT:LADKRABANG
ลาดพร้าว,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00516,LT:LADPRAO
วังหิน,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00794,LT:WANG_HIN
สุขาภิบาล 3,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00543,LT:SUKHAPIBAN3
สุขาภิบาล I,โลตัส,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00324,LT:SUKHAPIBAN1
